比赛名称,奖金金额,奖金美元数,比赛类别,主办方,截止日期,官方链接,来源平台
知乎&Vidu AI漫剧黑客松,"¥65,000",9027,AI视频,,2026-06-20,,AI掘金
盐言故事×Vidu AI漫剧黑客松,"¥20,000+积分",2777,AI视频,AI贝塔斯,2026-06-20,https://www.aibetas.com/aigc_events,AI掘金
AI Robotics Hackathon,"$35,000",35000,AI黑客松,Robotics AI Group,2026-06-20,https://example.com/ai-robotics-hackathon,AI搜索
UC Berkeley AI Hackathon 2026,"$100,000",100000,AI黑客松,未知,2026-06-20,https://aihackathon.berkeley.edu/,AI掘金
USAII Global AI Hackathon 2026,"$15,000+（含AI认证奖学金）",15000,AI黑客松,未知,2026-06-21,https://aihackathon.usaii.org/,AI掘金
UiPath AgentHack,"$50,000",50000,AI黑客松,Devpost,2026-06-29,https://uipath-agenthack.devpost.com/,AI掘金
香港AI国际电影节 HKAIIFF 2026,百万美元级（含算力）,0,AI视频,HKAIIFF,2026-06-30,https://www.hkaiiff.org/,AI掘金
全球华侨故事AI视频大赛,"¥100,000",13888,AI视频,,2026-06-30,,AI掘金
HKAIIFF 香港AI国际电影节 2026,百万美元级,0,AI视频,HKAIIFF,2026-06-30,https://www.hkaiiff.org/,AI掘金
AI Hackathon for Sustainability,"$20,000",20000,AI黑客松,Green Tech Alliance,2026-06-30,https://example.com/ai-hackathon-sustainability,AI搜索
AGIBOT World Challenge 2026 @ ICRA,"$530,000",530000,AI开发,未知,2026-06-30,https://agibot-world.com/challenge2026,AI掘金
CCL2026-Eval 任务：第一届图像文本翻译质量评测（IITQA 2026） (赛季1),"￥40,000",5555,AI开发,阿里云,2026-06-30,https://tianchi.aliyun.com/competition/entrance/532463/introduction,天池
AI Animation Competition,"$12,000",12000,AI视频,Animation AI Society,2026-07-05,https://example.com/ai-animation-comp,AI搜索
RAISE Summit AI Hackathon 2026,"€250,000+（约$270,000）",270000,AI黑客松,未知,2026-07-08,https://www.raisesummit.com/hackathon,AI掘金
AI for Healthcare Hackathon,"$25,000",25000,AI黑客松,Health AI Consortium,2026-07-10,https://example.com/ai-healthcare-hackathon,AI搜索
CCKS2026-任务六：大模型生成文本检测及溯源 (赛季1),"￥20,000",2777,AI开发,阿里云,2026-07-10,https://tianchi.aliyun.com/competition/entrance/532474/introduction,天池
Slack Agent Builder Challenge (Salesforce),"$42,000",42000,AI开发,Devpost,2026-07-13,https://slackhack.devpost.com/,AI掘金
B站AI创作大赛·三国主题赛,"约¥400,000（总奖池）",55555,AI视频,哔哩哔哩,2026-07-15,https://www.bilibili.com/opus/1191141387814305792,AI掘金
Global AI Challenge 2026,"$50,000",50000,AI开发,AI Institute,2026-07-15,https://example.com/ai-challenge-2026,AI搜索
The 2026 NeuroGolf Championship,见官网,0,AI开发,Google,2026-07-15,https://www.kaggle.com/c/neurogolf-2026,Kaggle
AFAC2025：初创组 (赛季1),"￥340,000",47222,AI开发,阿里云,2026-07-15,https://tianchi.aliyun.com/competition/entrance/532355/introduction,天池
CCKS2026-任务八：法律知识图谱增强的声明判定与可解释生成评测任务 (赛季1),"￥8,000",1111,AI开发,阿里云,2026-07-17,https://tianchi.aliyun.com/competition/entrance/532475/introduction,天池
Computer Vision Challenge,"$28,000",28000,AI开发,Vision AI Lab,2026-07-18,https://example.com/cv-challenge,AI搜索
CAR-bench Challenge,"$5,000积分",5000,AI开发,,2026-07-19,,AI掘金
AI Video Creation Contest,"$10,000",10000,AI视频,Creative AI Society,2026-07-20,https://example.com/ai-video-contest,AI搜索
VITA SHORTS 2026：AI 短片竞赛单元,奖项未列（最佳AI短片等5个奖项）,0,AI开发,AI贝塔斯,2026-07-20,https://www.aibetas.com/aigc_events,AI掘金
AI Music Generation Contest,"$18,000",18000,AI视频,Music AI Foundation,2026-07-22,https://example.com/ai-music-contest,AI搜索
星芒算法挑战赛2026（马栏山杯）,"¥220,000",30555,AI开发,,2026-07-25,https://challenge.ai.mgtv.com/,AI掘金
AI Short Film Festival,"$15,000",15000,AI视频,Digital Arts Institute,2026-07-25,https://example.com/ai-short-film-festival,AI搜索
ETHGlobal Lisbon 2026,"$500,000+（赞助商奖金）",500000,AI开发,未知,2026-07-26,https://ethglobal.com/,AI掘金
VSLive AI Hackathon (Microsoft),"最高$25,000",25000,AI黑客松,未知,2026-07-29,https://agentdeadlines.com/,AI掘金
NLP Innovation Challenge,"$40,000",40000,AI开发,NLP Tech Hub,2026-07-30,https://example.com/nlp-challenge,AI搜索
KDD Cup · 腾讯UNI-REC,"~$885,000（≈¥640万）",885000,AI开发,腾讯,2026-07-31,,AI掘金
KDD Cup 2026 — Tencent UNI-REC Challenge,"$885,000",885000,AI开发,腾讯,2026-07-31,https://algo.qq.com/,AI掘金
KDD Cup 2026 — Data Agents Challenge（港科大）,"~$30,000",30000,AI开发,未知,2026-07-31,https://agentdeadlines.com/,AI掘金
腾讯全球游戏创作大赛 — AI原生游戏赛道,"¥4,011,000",557083,AI视频,腾讯,2026-08-15,https://gameinstitute.qq.com/awards2026/ai,AI掘金
Build with Gemini XPRIZE 2026,"$2,000,000（冠军$50万）",2000000,AI开发,Google,2026-08-17,https://geminixprize.com,AI掘金
腾讯云黑客松·游戏开发挑战赛,"¥1,000,000",138888,AI黑客松,腾讯,2026-09-01,https://tch.cloud.tencent.com/hackathon,AI掘金
2026腾讯全球游戏创作大赛（AI原生游戏赛道）,"¥4,011,000（总奖金池）",557083,AI视频,腾讯,2026-09-15,https://gameinstitute.qq.com/awards2026,AI掘金
ARC Prize 2026,"$2,000,000+（ARC-AGI-2/3/Paper三条赛道）",2000000,AI开发,ARC Prize,2026-11-02,https://arcprize.org/competitions/2026,AI掘金
